age,mx,qx,px,lx,dx,Lx,Tx,ex
20,0.0002101,0.0002101,0.9997899,1000000.0,210.0,999895.0,66982943.0,67.0
21,0.0006707,0.0006705,0.9993295,999790.0,670.0,999455.0,65983048.0,66.0
22,0.001385,0.0013841,0.9986159,999120.0,1382.0,998429.0,64983593.0,65.0
23,0.0017578,0.0017563,0.9982437,997738.0,1752.0,996862.0,63985164.0,64.0
24,0.0014443,0.0014432,0.9985568,995986.0,1437.0,995268.0,62988302.0,63.0
25,0.0008428,0.0008424,0.9991576,994549.0,837.0,994131.0,61993035.0,62.0
26,0.0004225,0.0004224,0.9995776,993712.0,419.0,993503.0,60998904.0,61.0
27,0.0002597,0.0002597,0.9997403,993293.0,257.0,993165.0,60005402.0,60.0
28,0.0002368,0.0002368,0.9997632,993036.0,235.0,992919.0,59012237.0,59.0
29,0.0002636,0.0002636,0.9997364,992801.0,261.0,992671.0,58019319.0,58.0
30,0.0003069,0.0003068,0.9996932,992540.0,304.0,992388.0,57026648.0,57.0
31,0.0003591,0.0003591,0.9996409,992236.0,356.0,992058.0,56034260.0,56.0
32,0.0004199,0.0004198,0.9995802,991880.0,416.0,991672.0,55042202.0,55.0
33,0.0004899,0.0004897,0.9995103,991464.0,485.0,991222.0,54050530.0,55.0
34,0.0005702,0.00057,0.99943,990979.0,564.0,990697.0,53059309.0,54.0
35,0.0006618,0.0006616,0.9993384,990415.0,655.0,990088.0,52068612.0,53.0
36,0.0007658,0.0007656,0.9992344,989760.0,757.0,989382.0,51078524.0,52.0
37,0.0008831,0.0008827,0.9991173,989003.0,872.0,988567.0,50089143.0,51.0
38,0.0010143,0.0010137,0.9989863,988131.0,1001.0,987631.0,49100576.0,50.0
39,0.0011598,0.0011591,0.9988409,987130.0,1144.0,986558.0,48112945.0,49.0
40,0.0013198,0.0013189,0.9986811,985986.0,1300.0,985336.0,47126387.0,48.0
41,0.0014938,0.0014927,0.9985073,984686.0,1469.0,983952.0,46141051.0,47.0
42,0.0016811,0.0016797,0.9983203,983217.0,1651.0,982392.0,45157100.0,46.0
43,0.0018803,0.0018786,0.9981214,981566.0,1843.0,980645.0,44174708.0,45.0
44,0.0020895,0.0020873,0.9979127,979723.0,2044.0,978701.0,43194064.0,44.0
45,0.0023062,0.0023035,0.9976965,977679.0,2252.0,976553.0,42215363.0,43.0
46,0.0025276,0.0025244,0.9974756,975427.0,2462.0,974196.0,41238810.0,42.0
47,0.0027507,0.0027469,0.9972531,972965.0,2672.0,971629.0,40264614.0,41.0
48,0.0029724,0.002968,0.997032,970293.0,2879.0,968854.0,39292985.0,40.0
49,0.0031895,0.0031844,0.9968156,967414.0,3080.0,965874.0,38324131.0,40.0
50,0.0033993,0.0033935,0.9966065,964334.0,3272.0,962698.0,37358257.0,39.0
51,0.0035993,0.0035928,0.9964072,961062.0,3452.0,959336.0,36395559.0,38.0
52,0.0037875,0.0037804,0.9962196,957610.0,3620.0,955800.0,35436223.0,37.0
53,0.0039626,0.0039548,0.9960452,953990.0,3772.0,952104.0,34480423.0,36.0
54,0.0041236,0.0041151,0.9958849,950218.0,3910.0,948263.0,33528319.0,35.0
55,0.0042702,0.0042611,0.9957389,946308.0,4032.0,944292.0,32580056.0,34.0
56,0.0044024,0.0043928,0.9956072,942276.0,4139.0,940207.0,31635764.0,34.0
57,0.0045207,0.0045105,0.9954895,938137.0,4231.0,936022.0,30695558.0,33.0
58,0.0046256,0.0046149,0.9953851,933906.0,4309.0,931752.0,29759536.0,32.0
59,0.0047182,0.004707,0.995293,929597.0,4375.0,927410.0,28827785.0,31.0
60,0.0047993,0.0047878,0.9952122,925222.0,4429.0,923008.0,27900375.0,30.0
61,0.00487,0.0048581,0.9951419,920793.0,4473.0,918557.0,26977368.0,29.0
62,0.0049314,0.0049192,0.9950808,916320.0,4507.0,914067.0,26058811.0,28.0
63,0.0049845,0.0049721,0.9950279,911813.0,4533.0,909547.0,25144745.0,28.0
64,0.0050302,0.0050176,0.9949824,907280.0,4552.0,905004.0,24235198.0,27.0
65,0.0050695,0.0050567,0.9949433,902728.0,4564.0,900446.0,23330194.0,26.0
66,0.005155,0.0051417,0.9948583,898164.0,4618.0,895855.0,22429748.0,25.0
67,0.0052819,0.0052679,0.9947321,893546.0,4707.0,891193.0,21533893.0,24.0
68,0.0054531,0.0054382,0.9945618,888839.0,4833.0,886423.0,20642701.0,23.0
69,0.0056727,0.0056567,0.9943433,884006.0,5000.0,881506.0,19756278.0,22.0
70,0.0059462,0.0059285,0.9940715,879006.0,5211.0,876401.0,18874772.0,21.0
71,0.0062803,0.0062606,0.9937394,873795.0,5470.0,871060.0,17998372.0,21.0
72,0.0066837,0.0066614,0.9933386,868325.0,5784.0,865433.0,17127312.0,20.0
73,0.0071672,0.0071415,0.9928585,862541.0,6159.0,859462.0,16261879.0,19.0
74,0.0077442,0.0077143,0.9922857,856382.0,6606.0,853079.0,15402417.0,18.0
75,0.0084314,0.0083959,0.9916041,849776.0,7134.0,846209.0,14549338.0,17.0
76,0.0092495,0.0092069,0.9907931,842642.0,7758.0,838763.0,13703129.0,16.0
77,0.0102243,0.0101722,0.9898278,834884.0,8492.0,830638.0,12864366.0,15.0
78,0.0113879,0.0113233,0.9886767,826392.0,9357.0,821714.0,12033728.0,15.0
79,0.0127806,0.0126993,0.9873007,817035.0,10375.0,811848.0,11212015.0,14.0
80,0.0144528,0.0143489,0.9856511,806660.0,11574.0,800873.0,10400167.0,13.0
81,0.0164684,0.0163335,0.9836665,795086.0,12986.0,788593.0,9599294.0,12.0
82,0.0189079,0.0187303,0.9812697,782100.0,14648.0,774776.0,8810701.0,11.0
83,0.0218743,0.0216368,0.9783632,767452.0,16605.0,759150.0,8035925.0,10.0
84,0.0254987,0.0251764,0.9748236,750847.0,18903.0,741396.0,7276776.0,10.0
85,0.0299501,0.0295061,0.9704939,731944.0,21596.0,721146.0,6535380.0,9.0
86,0.0354466,0.0348257,0.9651743,710348.0,24738.0,697979.0,5814234.0,8.0
87,0.0422714,0.0413904,0.9586096,685610.0,28377.0,671422.0,5116255.0,7.0
88,0.0507942,0.0495257,0.9504743,657233.0,32549.0,640959.0,4444834.0,7.0
89,0.0615002,0.0596473,0.9403527,624684.0,37260.0,606054.0,3803875.0,6.0
90,0.0750301,0.0722844,0.9277156,587424.0,42461.0,566194.0,3197821.0,5.0
91,0.0922338,0.088108,0.911892,544963.0,48015.0,520956.0,2631628.0,5.0
92,0.1142457,0.1079612,0.8920388,496948.0,53651.0,470123.0,2110672.0,4.0
93,0.1425888,0.1328895,0.8671105,443297.0,58909.0,413843.0,1640550.0,4.0
94,0.1793192,0.164161,0.835839,384388.0,63101.0,352838.0,1226707.0,3.0
95,0.227229,0.2032617,0.7967383,321287.0,65305.0,288635.0,873870.0,3.0
96,0.2901326,0.2518356,0.7481644000000001,255982.0,64465.0,223750.0,585235.0,2.0
97,0.3732715,0.3115217,0.6884783,191517.0,59661.0,161687.0,361486.0,2.0
98,0.4838923,0.3836204,0.6163796,131856.0,50582.0,106565.0,199799.0,2.0
99,0.6320746,0.468512,0.531488,81274.0,38077.0,62236.0,93234.0,1.0
100,0.831924,0.5647888,0.4352112,43197.0,24397.0,30999.0,30999.0,1.0
